fdate,number of customers without power,county,state,fips
2024-02-06 05:00:00,0,Amador County,CA,06005
2024-02-06 06:00:00,0,Amador County,CA,06005
2024-02-06 07:00:00,0,Amador County,CA,06005
2024-02-06 08:00:00,0,Amador County,CA,06005
2024-02-06 09:00:00,0,Amador County,CA,06005
2024-02-03 00:00:00,1,Butte County,CA,06007
2024-02-03 01:00:00,1,Butte County,CA,06007
2024-02-03 02:00:00,1,Butte County,CA,06007
2024-02-03 03:00:00,1,Butte County,CA,06007
2024-02-03 04:00:00,1,Butte County,CA,06007
2024-02-03 05:00:00,1,Butte County,CA,06007
2024-02-03 06:00:00,1,Butte County,CA,06007
2024-02-03 07:00:00,1,Butte County,CA,06007
2024-02-03 08:00:00,1,Butte County,CA,06007
2024-02-03 09:00:00,1,Butte County,CA,06007
2024-02-03 10:00:00,1,Butte County,CA,06007
2024-02-03 11:00:00,1,Butte County,CA,06007
2024-02-03 12:00:00,1,Butte County,CA,06007
2024-02-03 13:00:00,1,Butte County,CA,06007
2024-02-03 14:00:00,1,Butte County,CA,06007
2024-02-03 15:00:00,1,Butte County,CA,06007
2024-02-03 16:00:00,1,Butte County,CA,06007
2024-02-03 17:00:00,1,Butte County,CA,06007
2024-02-03 18:00:00,1,Butte County,CA,06007
2024-02-03 19:00:00,0,Butte County,CA,06007
2024-02-03 20:00:00,0,Butte County,CA,06007
2024-02-03 21:00:00,0,Butte County,CA,06007
2024-02-03 22:00:00,0,Butte County,CA,06007
2024-02-03 23:00:00,0,Butte County,CA,06007
2024-02-04 00:00:00,0,Butte County,CA,06007
2024-02-04 01:00:00,0,Butte County,CA,06007
2024-02-04 02:00:00,0,Butte County,CA,06007
2024-02-04 03:00:00,0,Butte County,CA,06007
2024-02-04 04:00:00,0,Butte County,CA,06007
2024-02-04 05:00:00,0,Butte County,CA,06007
2024-02-04 06:00:00,0,Butte County,CA,06007
2024-02-04 07:00:00,0,Butte County,CA,06007
2024-02-04 08:00:00,0,Butte County,CA,06007
2024-02-04 09:00:00,0,Butte County,CA,06007
2024-02-04 10:00:00,0,Butte County,CA,06007
2024-02-04 11:00:00,0,Butte County,CA,06007
2024-02-04 12:00:00,0,Butte County,CA,06007
2024-02-04 13:00:00,0,Butte County,CA,06007
2024-02-04 14:00:00,0,Butte County,CA,06007
2024-02-04 15:00:00,0,Butte County,CA,06007
2024-02-04 16:00:00,0,Butte County,CA,06007
2024-02-04 17:00:00,0,Butte County,CA,06007
2024-02-04 18:00:00,0,Butte County,CA,06007
2024-02-04 19:00:00,131,Butte County,CA,06007
2024-02-04 20:00:00,131,Butte County,CA,06007
2024-02-04 21:00:00,118,Butte County,CA,06007
2024-02-04 22:00:00,70,Butte County,CA,06007
2024-02-04 23:00:00,229,Butte County,CA,06007
2024-02-05 00:00:00,306,Butte County,CA,06007
2024-02-05 01:00:00,306,Butte County,CA,06007
2024-02-05 02:00:00,334,Butte County,CA,06007
2024-02-05 03:00:00,344,Butte County,CA,06007
2024-02-05 04:00:00,344,Butte County,CA,06007
2024-02-05 05:00:00,344,Butte County,CA,06007
2024-02-05 06:00:00,1702,Butte County,CA,06007
2024-02-05 07:00:00,2188,Butte County,CA,06007
2024-02-05 08:00:00,8281,Butte County,CA,06007
2024-02-05 09:00:00,7751,Butte County,CA,06007
2024-02-05 10:00:00,7452,Butte County,CA,06007
2024-02-05 11:00:00,9837,Butte County,CA,06007
2024-02-05 12:00:00,8381,Butte County,CA,06007
2024-02-05 13:00:00,7372,Butte County,CA,06007
2024-02-05 14:00:00,9209,Butte County,CA,06007
2024-02-05 15:00:00,9614,Butte County,CA,06007
2024-02-05 16:00:00,13348,Butte County,CA,06007
2024-02-05 17:00:00,12825,Butte County,CA,06007
2024-02-05 18:00:00,10709,Butte County,CA,06007
2024-02-05 19:00:00,10073,Butte County,CA,06007
2024-02-05 20:00:00,10116,Butte County,CA,06007
2024-02-05 21:00:00,9365,Butte County,CA,06007
2024-02-05 22:00:00,9173,Butte County,CA,06007
2024-02-05 23:00:00,8726,Butte County,CA,06007
2024-02-06 00:00:00,6286,Butte County,CA,06007
2024-02-06 01:00:00,6246,Butte County,CA,06007
2024-02-06 02:00:00,7308,Butte County,CA,06007
2024-02-06 03:00:00,6932,Butte County,CA,06007
2024-02-06 04:00:00,6932,Butte County,CA,06007
2024-02-06 05:00:00,6933,Butte County,CA,06007
2024-02-06 06:00:00,6956,Butte County,CA,06007
2024-02-06 07:00:00,6956,Butte County,CA,06007
2024-02-06 08:00:00,7078,Butte County,CA,06007
2024-02-06 09:00:00,7078,Butte County,CA,06007
2024-02-03 00:00:00,3,Calaveras County,CA,06009
2024-02-03 01:00:00,3,Calaveras County,CA,06009
2024-02-03 02:00:00,0,Calaveras County,CA,06009
2024-02-03 03:00:00,0,Calaveras County,CA,06009
2024-02-03 04:00:00,0,Calaveras County,CA,06009
2024-02-03 05:00:00,0,Calaveras County,CA,06009
2024-02-03 06:00:00,0,Calaveras County,CA,06009
2024-02-03 07:00:00,0,Calaveras County,CA,06009
2024-02-03 08:00:00,0,Calaveras County,CA,06009
2024-02-03 09:00:00,0,Calaveras County,CA,06009
2024-02-03 10:00:00,0,Calaveras County,CA,06009
2024-02-03 11:00:00,0,Calaveras County,CA,06009
2024-02-03 12:00:00,20,Calaveras County,CA,06009
2024-02-03 13:00:00,21,Calaveras County,CA,06009
2024-02-03 14:00:00,21,Calaveras County,CA,06009
2024-02-03 15:00:00,20,Calaveras County,CA,06009
2024-02-03 16:00:00,20,Calaveras County,CA,06009
2024-02-03 17:00:00,20,Calaveras County,CA,06009
2024-02-03 18:00:00,0,Calaveras County,CA,06009
2024-02-03 19:00:00,0,Calaveras County,CA,06009
2024-02-03 20:00:00,0,Calaveras County,CA,06009
2024-02-03 21:00:00,0,Calaveras County,CA,06009
2024-02-03 22:00:00,0,Calaveras County,CA,06009
2024-02-03 23:00:00,0,Calaveras County,CA,06009
2024-02-04 00:00:00,0,Calaveras County,CA,06009
2024-02-04 01:00:00,0,Calaveras County,CA,06009
2024-02-04 02:00:00,0,Calaveras County,CA,06009
2024-02-04 03:00:00,0,Calaveras County,CA,06009
2024-02-04 04:00:00,0,Calaveras County,CA,06009
2024-02-04 05:00:00,0,Calaveras County,CA,06009
2024-02-04 06:00:00,0,Calaveras County,CA,06009
